                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.69722,                 0.5597,                0.96346,                0.93465,                0.85031,                0.92019,                0.78386,                0.62389,                0.44765,                 0.8768,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     72,                0.70203,                 0.5721,                0.96666,                0.93564,                0.85001,                0.92274,                  0.783,                0.62325,                0.44678,                0.87629,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     73,                0.70352,                0.57306,                0.98867,                0.93897,                0.84558,                0.92238,                0.78575,                 0.6239,                0.44698,                0.87662,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     74,                0.70206,                0.55782,                0.96685,                0.94366,                0.84525,                0.92308,                0.78449,                0.62365,                 0.4467,                0.87645,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     75,                0.71991,                0.58892,                0.97729,                0.94881,                0.84212,                0.92306,                0.78381,                0.62259,                0.44709,                0.87597,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     76,                 0.7159,                 0.5984,                 1.0053,                 0.9514,                0.84147,                0.92231,                0.78664,                0.62182,                0.44739,                0.87579,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     77,                0.72217,                0.57944,                0.97905,                0.94376,                0.84486,                0.92201,                0.78638,                0.62023,                0.44852,                0.87566,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     78,                0.69733,                 0.5616,                0.96147,                0.94151,                0.84733,                0.92258,                0.78531,                0.62007,                0.44775,                0.87538,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     79,                0.72958,                0.59164,                 0.9825,                0.94279,                0.84921,                0.92346,                 0.7881,                0.61964,                 0.4464,                0.87537,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     80,                 0.7024,                0.55054,                0.96071,                0.94426,                0.84984,                0.92279,                0.78867,                 0.6195,                0.44461,                0.87576,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     81,                0.71421,                0.58119,                0.98524,                0.94844,                0.84663,                 0.9203,                0.78881,                0.61982,                0.44406,                0.87611,              2.593e-05,              2.593e-05,              2.593e-05
                     82,                0.71958,                0.57326,                0.96837,                0.94623,                0.84889,                 0.9207,                 0.7905,                 0.6184,                0.44268,                0.87556,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     83,                0.72617,                0.58998,                0.96851,                0.95052,                0.84699,                0.92053,                0.79172,                0.61704,                0.44179,                 0.8754,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     84,                0.73764,                0.58999,                0.99517,                0.95156,                 0.8466,                0.92045,                0.79261,                0.61662,                0.44132,                0.87544,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     85,                0.74227,                0.60314,                0.98349,                0.94871,                0.84997,                0.92263,                0.79193,                0.61447,                0.44025,                0.87455,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     86,                0.74765,                0.60028,                0.97417,                0.94245,                0.85267,                0.92259,                0.79038,                0.61442,                0.44044,                0.87456,              2.004e-05,              2.004e-05,              2.004e-05
                     87,                0.75476,                0.60358,                0.99378,                0.94334,                0.85265,                0.92189,                0.79138,                0.61513,                0.44059,                 0.8744,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     88,                0.69282,                0.58269,                0.96435,                0.94508,                0.85232,                0.92216,                0.79041,                0.61307,                 0.4401,                0.87418,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     89,                0.71748,                0.57097,                0.96466,                 0.9432,                0.85359,                0.92205,                0.78981,                0.61141,                0.43801,                 0.8735,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     90,                0.72329,                0.58383,                 0.9837,                0.94154,                0.85404,                0.92109,                0.79054,                0.60987,                0.43886,                0.87256,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     91,                0.76913,                0.66024,                0.97201,                0.91945,                 0.8644,                0.92097,                0.79134,                0.61527,                0.44298,                0.87361,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     92,                0.77522,                0.62654,                0.95901,                0.90335,                0.87498,                0.92128,                 0.7867,                0.62264,                0.44673,                 0.8753,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     93,                 0.7648,                0.60459,                0.94906,                 0.9047,                0.87446,                0.92048,                0.78623,                0.62962,                0.45108,                0.87705,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     94,                0.75185,                0.58841,                 0.9518,                0.91288,                0.87065,                0.92124,                0.78566,                 0.6357,                0.45562,                 0.8789,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     95,                0.76964,                0.63586,                0.95968,                0.91026,                0.87087,                0.92045,                0.78005,                0.64055,                0.45744,                0.88028,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     96,                0.75128,                0.58411,                0.96589,                0.91321,                0.86647,                0.92024,                0.78066,                0.64298,                0.45777,                0.88096,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     97,                0.75425,                 0.5998,                0.94552,                0.91019,                0.86565,                0.91831,                0.77842,                   0.65,                0.46371,                0.88258,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     98,                0.71825,                0.55562,                0.95729,                0.91266,                0.86568,                0.91884,                0.77954,                0.64962,                0.46345,                 0.8826,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     99,                0.72201,                0.58479,                 0.9351,                0.91313,                0.86377,                0.91885,                0.77849,                0.65018,                0.46426,                0.88272,             4.7243e-06,             4.7243e-06,             4.7243e-06
                    100,                0.70643,                0.57231,                0.95756,                0.90867,                0.86895,                0.91785,                0.77799,                0.64901,                0.46408,                0.88255,             3.5462e-06,             3.5462e-06,             3.5462e-06
